,title,year,rated,released,runtime,genre,director,actors,plot,awards
0,The Lego Movie,2014,PG,07 Feb 2014,100 min,"Animation, Action, Adventure","Phil Lord, Christopher Miller","Chris Pratt, Will Ferrell, Elizabeth Banks","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",Nominated for 1 Oscar. 72 wins & 67 nominations total
1,The Simpsons Movie,2007,PG-13,27 Jul 2007,87 min,"Animation, Adventure, Comedy",David Silverman,"Dan Castellaneta, Julie Kavner, Nancy Cartwright","After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",Won 1 BAFTA Award5 wins & 34 nominations total
2,El Camino: A Breaking Bad Movie,2019,TV-MA,11 Oct 2019,122 min,"Action, Crime, Drama",Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones","Fugitive Jesse Pinkman runs from his captors, the law, and his past.",Nominated for 4 Primetime Emmys. 4 wins & 24 nominations total
3,Scary Movie,2000,R,07 Jul 2000,88 min,Comedy,Keenen Ivory Wayans,"Anna Faris, Jon Abrahams, Marlon Wayans","A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",7 wins & 6 nominations
4,The Super Mario Bros. Movie,2023,PG,05 Apr 2023,92 min,"Animation, Adventure, Comedy","Aaron Horvath, Michael Jelenic, Pierre Leduc","Chris Pratt, Anya Taylor-Joy, Charlie Day","A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess.",3 nominations
5,Bee Movie,2007,PG,02 Nov 2007,91 min,"Animation, Adventure, Comedy","Simon J. Smith, Steve Hickner","Jerry Seinfeld, Renée Zellweger, Matthew Broderick","Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship ...",1 win & 15 nominations
6,Scary Movie 2,2001,R,04 Jul 2001,83 min,"Comedy, Horror",Keenen Ivory Wayans,"Anna Faris, Marlon Wayans, Antony Acker",Four teens are tricked by Professor Oldman (Tim Curry) into visiting a haunted house for a school project.,3 wins & 5 nominations
7,The Lego Batman Movie,2017,PG,10 Feb 2017,104 min,"Animation, Action, Adventure",Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",13 wins & 68 nominations
8,Scary Movie 3,2003,PG-13,24 Oct 2003,84 min,Comedy,David Zucker,"Anna Faris, Charlie Sheen, Regina Hall","Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",2 wins & 4 nominations
9,Scary Movie 4,2006,PG-13,14 Apr 2006,83 min,Comedy,David Zucker,"Anna Faris, Regina Hall, Craig Bierko","Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",1 win & 3 nominations
